Movie,Content
Beyond The Black Rainbow,"In the 1960s, Mercurio Arboria founded the Arboria Institute, a New Age research facility dedicated to finding a reconciliation between science and spirituality, allowing humans to move into a new age of ""Serenity Through Technology"" and perpetual happiness. Now, in 1983, Arboria's work has long since been taken over by his protégé, Dr. Barry Nyle. Outwardly a charming, handsome scientist, Nyle is a psychopath who has been keeping Elena, a young girl, captive deep within the lower levels of the institute. Because there is no sunlight or sense of time in this place, the facility operates in ""Day Mode"" and ""Night Mode."" Elena only communicates through telepathy and demonstrates psychic capabilities, which Nyle suppresses using a glowing, prismatic device located somewhere in the bowels of the institute, from where it emanates a deep, droning hum.
In an effort to understand Elena's abilities, Nyle subjects her to daily ""therapy"" sessions, during which Elena begs to see her father, but Nyle tells her she is very ill, and ""not ready"" for the world. By night, Elena is kept in her room, where she uses her psychic abilities to surreptitiously watch television shows through a video monitor in the wall. Nyle spends his nights at home with his wife Rosemary, a docile woman who appears to exist in a state of marijuana-induced stupor, yet seems to genuinely care for Nyle despite his lack of tenderness towards her. Nyle takes significant quantities of prescription medication, smiling at his insane reflection in the bathroom mirror.
Attempting to elicit an emotional response from Elena, Nyle speaks about her dead mother, whom he calls ""beautiful"" and ""desirable"". He hints that a photo of her might be in Elena's room, which she later discovers under her bed.[7]
That evening, Elena's nurse Margo discovers Nyle's case notes regarding Elena in a hidden recess in the wall, finding strange symbols and images that indicate Nyle's violent sexual obsession with Elena. Fearful of what the notes contain, Margo puts them back. Afterward, Nyle receives a mysterious phone call and rushes back to the Institute where he discovers ash from Margo's cigarette near the case notes. Nyle takes a psychedelic drug to calm himself.
Suspicious of Margo, Nyle informs her that Elena has smuggled contraband into her room. Margo later harasses and verbally abuses Elena, destroying the photo, and Nyle deactivates the suppressor device. Elena kills her by telekinetically causing her brain to burst through her eyes. Nyle, having monitored these events, is intrigued by this blatant display of psychic ability and pleased at Margo's death. He allows Elena to leave her cell and reactivates the prism, causing her to convulse and fall to the floor. Nyle then releases an anaesthetic gas into the facility. As Elena lies unconscious, Nyle electronically summons an entity in a helmeted red environment suit (identified as a ""Sentionaut""), who injects a tracking device in Elena's neck before carrying her back to bed and removing all traces of Margo's brutalized corpse.
Nyle goes to see Arboria in another area of the institute. Displaying signs of senility and drug addiction, Arboria does not acknowledge Nyle's psychosis, regarding him as his best protégé. A flashback to 1966 reveals that Elena's mother was Arboria's wife Anna, who was present when Arboria led a young Nyle through a procedure meant to allow him to achieve transcendence. As a part of the procedure, Nyle was submerged in a vat of black liquid and experienced otherworldly, hellish visions. Nyle emerged insane and killed Anna. Unperturbed, Arboria submerged the infant Elena in the black liquid. Back in the ""present"" of 1983, Nyle murders Arboria by administering a fatal drug overdose, which Elena experiences via telepathic link with her father.
Nyle returns home, while a television broadcasts an address from President Reagan. He reveals that he disguises his complete lack of hair and his black irises with an elaborate wig and contact lenses. Presenting himself to his wife without these appliances, and dressed in a strange black outfit, he declares his primacy as an evolved being from ""Beyond the Black Rainbow,"" and pushes his thumbs into Rosemary's eye sockets, killing her.
Meanwhile, Elena escapes, having used her psychic powers to render herself undetectable to the prism. She rides an elevator, evades a Sentionaut, and traverses a deep ventilation shaft on her journey upward through the Arboria Institute. Along the way, she encounters and narrowly avoids a bound, monstrous humanoid as her defense against the suppressor briefly fails. As she arrives at an upper level, she is confronted by another Sentionaut, whom she influences with her telepathy, prompting it to remove the visor on its helmet to reveal a mutated, childlike face. Arriving in a staff lounge, Elena finds that no other people seem to be working at the institute. Walking through the Arboria Institute's ""award-winning gardens,"" she at last arrives outside the walls and sees the night sky for the first time in her life.
Nyle, having at last shed the pretense of humanity, dissolved his final contact to the material world, and wielding a ceremonial dagger he calls ""The Devil's Tear-Drop,"" arrives back at the institute to find Elena gone. He produces a transponder receiver and departs. While pursuing Elena through the wooded areas surrounding the institute, he encounters a pair of ""heshers,"" whom he kills after insisting one of them had sex with Elena.
Having located her using the tracking implant, Nyle eventually corners Elena in a clearing and repeatedly implores her to come to him. Elena uses her psychic abilities to keep Nyle's feet planted on the ground and as he tries to approach her, Nyle falls, hits his head against a rock, and dies instantly. Free of her captor, Elena finds herself on a suburban street, guided by the light generated by a television set.
A post-credits scene reveals a Sentionaut action figure, ostensibly in a child's bedroom."
Chimpanzee,"In Taï National Park in Ivory Coast, Oscar is a young chimpanzee in his toddler years and is part of a close-knit tribe of chimpanzees who occupy a forest territory which is rich in native fruits, nuts, and figs. The chimpanzees hunt small tree monkeys, and they also eat termites collected with primitive tools made from sticks. They also use rocks as tools to crack nuts. Oscar is tended by his mother, Isha, and from her he begins learning many things about how to survive in the jungle. In the chaos of an attack by a rival gang of chimpanzees led by Scar, Isha is injured and separated from the group and her son. As told by the narrator, Isha most probably falls victim to a nocturnal leopard.
Unaware of his mother's death, Oscar spends much of his time looking for her. He has trouble recalling the things she taught him and loses weight quickly. He attempts to find another mother to take care of him. However, none of the females in the group can afford to help him, already having young of their own to raise. As time goes on, Oscar is rejected by all the chimpanzees in the group, until the only one left to approach is the tough-skinned alpha male, Freddy. As Oscar follows Freddy and imitates him, it is soon revealed that this unlikely pairing may work out. The two gradually warm up to each other more and more, until one day Freddy lets Oscar ride on his back, something normally only mother chimpanzees do.
As the rivals prepare for attack, Freddy is forced to take time away from Oscar to organize the other members of the group, and this leaves the young chimpanzee confused. Scar leads a vicious attack, but because of the unity of Freddy's group, they are driven away into the jungle. A few months later, it is revealed that the bond between Freddy and Oscar has continued to grow, and that life in the group is slowly returning to normal."
Mirror Mirror,"The film opens with a narration from the very beautiful but wicked enchantress, Clementianna, who insists that it is her story: she had married the widower king, who one day left to fight a great evil that had invaded the land, but he never returned. Clementianna becomes queen and rules in his absence, while confining her young stepdaughter, Princess Snow White, to the palace.
Ten years later, Snow White is now a young woman, who desires to explore the kingdom. She decides to sneak out. Walking through the forest, she meets the visiting Prince Andrew Alcott of Valencia, who has been robbed by a band of dwarfs; she and the prince are instantly smitten with each other. Snow White arrives in the town, and finds the townspeople are destitute due to Clementianna's heavy taxation.
Meanwhile, Clementianna is introduced to Alcott, is also smitten and decides to marry him for his wealth to solve the kingdom's financial troubles. She throws a ball to woo him. Unbeknownst to her, Snow White secretly attends, planning to ask Alcott to help her regain her throne and restore the kingdom. Clementianna notices her and Alcott dancing and orders her manservant, Brighton, to take the princess into the forest and feed her to the Beast. 
Snow White is left in the forest and manages to run away from the Beast, before collapsing at the dwarfs' hideout. The dwarfs take her in, and introduce themselves as Grimm, Butcher, Wolf, Napoleon, Half Pint, Grub, and Chuck. When Brighton collects more taxes levied by the queen to pay for her expensive parties, the dwarfs rob him. Snow White takes the money and returns it to the townspeople, crediting the dwarfs, whom the people hail as heroes.
Clementianna informs Alcott that Snow White is dead. When he hears the bandits have robbed Brighton, he goes after them. In the forest, he discovers that Snow White is alive and in league with the dwarfs, who have trained her in combat. Both believing each other to be in the wrong, Snow White and Alcott duel. He returns to the palace, defeated, and informs Clementianna that Snow White was the dwarfs leader and is alive. 
Clementianna enters her Mirror House to consult her reflection, the Mirror Queen. She has her temporarily turn Brighton into a cockroach, and requests a love potion to make Alcott fall in love with her. It turns out to be a 'puppy love' potion, and Alcott becomes devoted to her like a puppy. Under this potion, he agrees to marry her. Using dark magic, the queen attacks Snow White and the dwarfs with two giant marionettes, but Snow White defeats them by cutting their strings.
On the day of her wedding, Clementianna arrives to find that Snow White and the dwarfs have raided the party and abducted Alcott. For her inability to handle bandits and for lying about Snow White's death, the aristocrats demand for the queen be deposed. Back in the forest, Snow White breaks the spell on Alcott with true love's kiss.
Snow White encounters Clementianna, who sends the Beast after her. It manages to catch her, but it hesitates in killing her. Snow White sees the Beast wears a necklace with a moon charm on it similar to Clementianna's. She cuts the necklace off, breaking Clementianna’s spell, and restoring the Beast to its true form: Snow White’s father. Clementianna then ages rapidly, and the Mirror Queen explains that this is the price for using dark magic.
Grateful to Alcott for his assistance, the king agrees to let him marry Snow White. At their wedding, an old hag appears and offers Snow White an apple as a wedding gift. Snow White accepts it and is about to bite it, but then realizes the hag is Clementianna. She cuts a piece from the apple with her father's dagger and hands it to her. Clementianna accepts defeat, takes the apple, and disappears. 
The Mirror Queen affirms it was Snow White's story after all before the Mirror House shatters. Snow White, Prince Alcott, the King and the dwarfs live happily ever after."
The Artist,"In 1927, silent film star George Valentin is posing for pictures outside the premiere of his latest hit film when a young woman, Peppy Miller, accidentally bumps into him. Valentin reacts with humor to the accident and shows off with Peppy for the cameras. The next day, Peppy finds herself on the front page of Variety with the headline ""Who's That Girl?"" Later, Peppy capitalizes on the headline by auditioning as a dancer and is spotted by Valentin, who insists that she have a part in Kinograph Studios' next production, despite objections from studio boss Al Zimmer. While performing a scene in which they dance together, Valentin and Peppy show great chemistry. With a little guidance from Valentin, who draws a beauty spot on her after finding her in his dressing room, Peppy slowly rises through the industry, earning more prominent starring roles.
Two years later, Zimmer announces the end of production of silent films at Kinograph Studios, but Valentin is dismissive, insisting that sound is just a fad. In a dream, Valentin begins hearing sounds from his environment (as does the audience), but cannot speak himself, then wakes up in a sweat. He decides to produce and direct his own silent film, Tears of Love, financing it himself. The film opens on the same day as Peppy's new sound film Beauty Spot and the 1929 Stock Market Crash. Valentin's only chance of avoiding bankruptcy is for his film to be a hit. Unfortunately, audiences flock to Peppy's film instead, while only a few people (including Peppy herself) attend Valentin's. With Valentin ruined, his wife, Doris, kicks him out, and he moves into an apartment with his valet/chauffeur, Clifton, and his dog. Peppy goes on to become a major Hollywood star.
Later, the bankrupt Valentin is forced to auction off all of his personal effects, and after realizing he has not paid loyal Clifton in over a year, gives him the car and fires him, telling him to get another job. Depressed and drunk, Valentin angrily sets a match to his private collection of his earlier films. As the nitrate film quickly blazes out of control, he is overwhelmed by the smoke and passes out inside the burning house, still clutching a single film canister. However, Valentin's dog attracts the help of a nearby policeman, and after being rescued, Valentin is hospitalized for injuries suffered in the fire. Peppy visits the hospital and discovers that the film he rescued is the one with them dancing together. She asks for him to be moved to her house to recuperate. Valentin awakens in a bed at her house to find that Clifton is now working for Peppy. Valentin seems to remain dismissive of Peppy having taken him in, prompting Clifton to remind Valentin of his changing luck.
Peppy insists to Zimmer that Valentin co-star in her next film, threatening to quit Kinograph if Zimmer does not agree to her terms. After Valentin learns to his dismay that Peppy had purchased all his auctioned effects, he returns in despair to his burnt-out apartment. Peppy arrives, panicked, and finds that Valentin is about to attempt suicide with a handgun. Peppy tells him she only wanted to help him. They embrace and Valentin tells her it's no use; no one wants to hear him speak. Remembering Valentin's superb dancing ability, Peppy persuades Zimmer to let them make a musical together.
Now the audience hears sound for the second time, as the film starts rolling for a dance scene with Peppy and Valentin and their tap-dancing can be heard. Once the choreography is complete, the two dancers are heard panting. The director of the musical calls out audibly, ""Cut!"" to which Zimmer adds: ""Perfect. Beautiful. Could you give me just one more?"" Valentin, in his only audible line, replies ""With pleasure,"" revealing a French accent.[19] The camera then pulls back to the sounds of the film crew as they prepare to shoot another take."
Dr. Seuss' The Lorax,"Twelve-year-old Ted Wiggins lives in Thneedville, a walled city where all vegetation is artificial. One day, Ted is infatuated with a teenage girl named Audrey and decides to impress her with a ""real tree"". His grandmother, Norma, tells him about the Once-ler, who knows what happened to the trees. Ted leaves Thneedville and discovers that the outside world is a barren, contaminated wasteland. He finds the Once-ler, who agrees to tell Ted the story of the trees over multiple visits. The next time he leaves town, Ted encounters Thneedville's greedy mayor, Aloysius O'Hare, whose company sells bottled oxygen. Explaining that trees and the oxygen they produce pose a threat to his business, O'Hare intimidates Ted to stay in town, but Ted continues to visit the Once-ler.
The Once-ler recounts how, as a young inventor, he arrived in a lush forest of Truffula trees. Upon chopping down a tree, he was confronted by the Lorax, the self-proclaimed ""guardian of the forest"". After attempting to force the Once-ler out, the Lorax made him promise not to cut down any more trees. The Once-ler used the Truffula fibers to create the ""Thneed"", a knitted garment with numerous uses, which became a major success. He harvested the Truffula tufts in a sustainable manner until his unscrupulous relatives arrived and persuaded him to resume cutting down trees, leading to large profits, but breaking his promise to the Lorax and causing deforestation and pollution. After the final Truffula tree fell, the Once-ler was ruined and abandoned by his family. With the region uninhabitable, the Lorax sent the native animals away and vanished into the sky, leaving behind a pile of rocks etched with the word ""Unless"". 
The Once-ler gives Ted the last Truffula seed and tells him to plant it and make others care about trees. Ted returns home to plant the seed, but is spotted by O'Hare's city-wide surveillance system. Enlisting the help of Audrey and his family, Ted flees to the center of town with the seed. O'Hare chases him and rallies the citizens against Ted, claiming that trees are dangerous and filthy. Ted uses a bulldozer to knock down a section of the city wall, revealing the environmental desolation outside. Inspired by Ted's conviction, the crowd turns on O'Hare, whose henchmen banish him, and the seed is finally planted.
As time passes, the land begins to recover. New trees sprout, animals start to return, and the elderly Once-ler reunites with the Lorax. The film ends with a quote from Dr. Seuss: ""Unless someone like you cares a whole awful lot, nothing is going to get better. It's not."""
The Viral Factor,"IDC (International Defense Commission) agent Sean Wong (Andy On) and his team members are in Jordan on a dangerous mission to escort a scientist named Kenner Osama Muhammad, who has stolen a copy of the smallpox virus, to Norway. On the way out of the country, the convoy were ambushed by a group of assailants. It was later revealed that Sean has betrayed the team for his own agenda and shot his colleagues Jon Man (Jay Chou) and his girlfriend Ice (Michelle Bai). Sean then escapes with Kenner and the virus. The failed mission left Ice dead while Jon has a bullet lodged in his brain with no safe way to remove it and only two weeks to get his affairs in order before succumbing to permanent paralysis. Three months later, the crew of a freight ship on Malaysian waters was found to have been infected and killed by the smallpox virus. However this plan backfires when Kenner escapes only to killed accidentally by getting ran over by a random passerby truck, forcing Sean to make plans to intercept a replacement specialist. Elsewhere, Sean contacts an arms dealer called Tyler (Jared Robinson), and suggests to mutate the virus into a biological weapon, develop a vaccine and sell it to a corrupt pharmaceutical company. In Beijing, Jon returns home to spend his remaining days with his mother (Elaine Jin), who tells him that he has a long lost brother, Man Yeung (Nicholas Tse) whom she left behind with his father, Man Tin (Liu Kai Chi).
In Kuala Lumpur at a Malaysian court, Man Yeung is being charged for numerous crimes that he had committed. While being escorted to the prison, he attacks the police personnel and makes a successful escape. He later meets up with corrupt police officer Russell (Philip Keung), who aided in his escape from custody and was given a new job. On his flight to Malaysia, Jon meets Asian Centre for Disease Control and Prevention (ACDC) doctor Rachel Kan (Lin Peng), who was later abducted by Yeung after the plane landed. A suspicious Jon, who noticed that the car that Rachel was travelling in has a different driver from earlier, tails the vehicle and ended up being forced into the vehicle. Jon, unaware of Yeung's identity, puts up a fight against him and the other henchmen, causing the car to crash. Yeung escapes after a brief struggle with Jon. Later, Jon meets his father and Man's daughter, Cheung-sing, who shows him a newspaper article that the man he encountered earlier was his brother.
Meanwhile, Yeung and his goons breaks into Rachel's house, who holds her mother hostage and forces her to get a Carnot virus sample from the ACDC headquarters. The next day, while Yeung and Rachel are leaving the building after obtaining the virus sample, a security personnel triggers the alarm, causing a chase through the city. During the chaos several ACDC guards and Yeung's partners are killed and Rachel is re-captured by Mark (Sammy Hung), Sean's right hand man working with Russell. Yeung crashes the getaway vehicle and flees on foot but is pursued by Russell and his corrupt cops who want him silenced. He calls his father and tells him to bring Cheung-aing to meet him at the train station. Jon, who was nearby to meet up with Rachel, witnesses the event and join in the pursuit of Yeung. Working together, Jon and Yeung manages to hold off the corrupted police officers long enough for them to board a train to escape. Jon persuades Yeung to surrender himself but the two brothers got embroiled in a fist fight. They were later intercepted by the Russell and police at a train depot, where Tin sacrifices himself in order to let Yeung and Cheung-aing escape, but Cheung-aing was caught by a corrupt cop and Jon arrested by the police.
Russell then discovers that Jon and Yeung are brothers, and orders his men to kill Jon, who is at a hospital for a check-up. Yeung later follows Russell to a nightclub, who was meeting Sean. After being assaulted by Yeung to release his daughter, Russell escapes and runs to the road only to be knocked down by a bus, killing him instantly. At the hospital, Russell's men failed to kill Jon, who escapes after putting up a fight.
Next morning, Yeung goes to an abandoned building to bring the Carnot virus sample to Sean in exchange for his daughter. Rachel was then forced to combine the Carnot virus sample with the smallpox virus, which Sean later tries to test on Rachel's mother. Before it could be done however, Jon shows himself and holds Sean at gunpoint. Sean tries to dissuade Yeung from helping Jon by threatening his daughter's life. A police tactical team then storms the building, and in the confusion, Sean escapes with the virus. Jon then gives chase and when it appears that he has nowhere to run, Sean injects the virus into Yeung's daughter, who was placed inside a car. Sean, claiming to be the only person who has the antidote to the virus, tells Jon to bring Rachel to him in exchange for Cheung-sing. With Cheung-sing's life at stake, he was left with no choice but to let Sean go. Jon then gets into another car and picks up Yeung, who has been shot, before escaping together. That night, after removing the bullet, Jon and Yeung share their life stories together. However, the police moved into their hiding place. Yeung escapes while Jon stayed behind to surrender himself.
Later while being transferred to maximum security prison, Jon hijacks the helicopter he is in. Together with Yeung and Rachel, they escape via air and arrives at Sean's designated location. However, it turns out to be a trap when Mark, Sean's henchman appears and shoot Yeung before abducting Rachel. Jon spots Sean and gives chase while Yeung goes after Rachel, who is brought onto a ship to create the antidote to the virus.
Yeung encounters Mark dumping Cheung-sing's body into the sea and kills him in a fit of anger before jumping off the ship to retrieve his daughter. Jon arrives in time to help both of them get back onto the ship, and tells Yeung to commandeer the engine control room to stop the ship from starting while he looks for Rachel. After finding her and breaking her out, they are chased by Tyler and Sean, while Yeung easily disposes of Tyler's henchman Mike and several other henchmen. As Jon and Rachel attempt to flee, Sean then shoots and injures Rachel when they were attempt to cross a big gap. Jon eventually deals with the remaining henchmen but is pinned by Tyler who wields a machine gun. Jon manages to retrieve a revolver and shoot Tyler dead. In the final showdown, Sean pins down both Jon and Yeung. Jon, who is becoming weaker by the minute, knows his time is almost up and because only one of them can take down Sean, walks out to become a distraction allowing Yeung to shoot Sean dead.
In the aftermath, Yeung has surrendered to the IDC and goes to Beijing with Cheung-sing to visit his mother in a sign that shows he has forgiven her. The film ends with a narration by Jon that his family is his ""everything"" whose fate is left ambiguous."
Henry Poole Is Here,"Having been diagnosed as terminally ill, Henry Poole purchases a tract house in his hometown, a working class suburb of Los Angeles, and awaits the inevitable, fortified with whiskey and frozen pizza. His peaceful solitude and self-imposed exile are disrupted by his meddling neighbor Esperanza Martinez, who insists she sees the face of Christ embedded in the stucco wall of his home and is convinced the image has miraculous powers when it begins to exude drops of blood. Before long, she is leading pilgrimages to his backyard and inviting Father Salazar from the local parish to bless the supposedly sacrosanct blemish.  To Henry the image is a water stain.
In addition to dealing with Esperanza, Henry finds himself interacting with Dawn and her taciturn six-year-old daughter Millie, who hasn't spoken a word since her father abandoned the family a year earlier. Dawn becomes convinced of the image's healing powers when Millie begins to talk after touching it. Another disciple is supermarket cashier Patience, who wears thick glasses and discovers her vision is perfect after she too comes in contact with the stain.
When Henry learns that Millie has gone silent after learning of his terminal illness while eavesdropping on his conversation with her mother, he resolves to remove the stain and disabuse the faithful of what he believes to be misplaced belief. Henry destroys the image with an axe and in the process destroys his house. With the structure weakened, a corner of the house collapses on him.
The film ends with Henry recovering in the hospital. Upon awakening in his hospital bed, he is greeted by Esperanza, Dawn and a talking Millie, who inform him that he is no longer ill. Surprised and rejuvenated, he finds himself ready to accept hope and belief and even the possibility of miracles."
J. Edgar,"The film uses a nonlinear narrative, alternating between J. Edgar Hoover's role in establishing the Federal Bureau of Investigation (FBI) and his later years trying to safeguard it against perceived threats. As a frame story, the aging Hoover narrates the events of the Bureau's early years to a series of agents he has assigned to ghostwrite a book about it.
In 1919, Attorney General A. Mitchell Palmer survives an assassination attempt by anarchists and assigns Justice Department employee Hoover to a division dedicated to purging radicals. Helen Gandy rejects Hoover's awkward advances, but becomes his personal secretary and confidant. By arranging to make the anarchist Emma Goldman eligible for deportation, Hoover creates legal precedent to deport numerous other radicals. Following the Palmer Raids, Palmer loses his job and his successor, Harlan F. Stone, appoints Hoover as director of the department's Bureau of Investigation. Hoover has Gandy create a confidential file in which he collects incriminating information on people in power.
With the First Red Scare over, Hoover focuses the Bureau on fighting gangsters. When the Lindbergh kidnapping captures national attention in 1932, he urges passage of the Federal Kidnapping Act, increasing the Bureau's power. He establishes the FBI Laboratory, applying forensic science techniques to the investigation, and has the registration numbers on the ransom bills monitored. Though Charles Lindbergh Jr. is found dead, these techniques lead to the arrest and conviction of Bruno Richard Hauptmann for the crime.
Well into adulthood, Hoover continues to live with his mother, who is his moral guide. He hires Clyde Tolson to the Bureau in 1930; the two develop a close personal relationship, and Hoover promotes Tolson to Associate Director. When Hoover confesses to his mother that he is uncomfortable in romantic situations with women, she says she would rather he be dead than gay. When Tolson tells Hoover that he loves him, Hoover panics and claims that he wants to marry actress Dorothy Lamour. Tolson becomes infuriated and the two fight, culminating in Tolson kissing Hoover and threatening to end their association if Hoover ever talks about another woman again. Hoover's mother dies, and he is grief-stricken.
Following an embarrassing line of questioning by Senate Appropriations Committee chair Kenneth McKellar in 1933, Hoover becomes increasingly vengeful against those who challenge his reputation and the Bureau's. He uses covert listening devices to collect compromising information which he uses to blackmail key political figures over the years, including President Franklin D. Roosevelt and Attorney General Robert F. Kennedy, protecting his position and increasing the Bureau's power. He starts an illegal counterintelligence program to fight what he perceives as a new wave of radicals, culminating in his unsuccessful attempt to blackmail Martin Luther King Jr. into declining the Nobel Peace Prize in 1964 via the FBI–King suicide letter.
Tolson suffers a stroke, and Hoover's strength declines with age. Fearing that President Richard Nixon will acquire his confidential files and use them to ruin the FBI's reputation, he asks Gandy to keep them out of Nixon's hands. Tolson urges Hoover to retire and accuses him of exaggerating his involvement in major events in the Bureau's history. Hoover admits his feelings for Tolson before dying at home. Gandy destroys Hoover's files before Nixon's men can seize them."
Puncture,"Mike Weiss, a young Houston lawyer and drug addict, and Paul Danziger, his longtime friend and straitlaced law partner, are the personal injury lawyers behind the law firm Danziger & Weiss. They decide to take on a case involving Vicky Rogers, a local ER nurse, who was pricked by a contaminated needle on the job and contracted HIV. Vicky shows Mike and Paul a safety needle, invented by her family friend, Jeffrey Dancort, which defends against accidental needlesticks by only being used once, and she urges them to help bring the product to hospitals. Vicky later dies from her illness. Mike digs deeper into the case, and discovers no one is willing to buy the needle because of a healthcare/pharmaceutical conspiracy and bribery racket. With the threat of exposure, heavyweight attorneys move in on the defense led by attorney Nathaniel Price. Out of their league and out of money, the mounting pressure of the case pushes the two underdog lawyers and their business to the breaking point.[3]
In the meantime, Mike is struggling with his heavy drug usage and his loneliness. He seeks sex therapy as a source of comfort and is consistently in the company of prostitutes. His personal struggles hinder the realization of his professional ambitions, as he misses many of the meetings and investment events, driving a wedge between him and Paul.
Mike, Paul, and Dancort gain the support of Senator O'Reilly, not before she gives Mike an ultimatum: get clean. Mike's heavy withdrawal leaves him hospitalized, only adding to the financial burdens of the firm. The momentum of the case seems to come to a standstill: Senator O'Reilly pulls out after United Medical Health Supplies lobbies for her re-election campaign and Paul, with a new baby at home, is not interested in pursuing the case over his family.
They meet with Nathaniel Price, and he offers a settlement, the tipping point for the conflict between Mike and Paul. Their conflict comes to a head as Mike argues to take the case to trial and seek justice, while Paul protests there is no feasible way they can continue all the way financially. Mike meets a former employee of Thompson Needle Manufacturers and a friend of Vicky's, who implores him to continue the case on behalf of the lives affected by used needles, which spread AIDS and hepatitis worldwide. Mike meets with Nathaniel Price and pledges he will personally find new clients and hospital employees affected by these unsafe needles across the country. However, the next day, Paul finds Mike dead from an overdose.
At the settlement conference, Paul walks in with famous personal injury attorney Mark Lanier, declining the settlement and proclaiming that they will see them in court. The movie's postscript tells the audience that in 2004, Attorney Lanier settled a lawsuit against one of the nation's largest medical supply manufacturer for over $150 million.[4] ""As a result, thousands of hospitals throughout the United States now use safety needles."""
Rise Of The Planet Of The Apes,"In San Francisco, Will Rodman, a genetics chemist, is testing ALZ−112, a viral-based drug, on chimpanzees at the biotechnology company Gen-Sys to find a cure for Alzheimer's disease. ALZ-112 is given to various chimpanzees, including a chimpanzee named Bright Eyes, which greatly increases her intelligence. However, during Will's presentation of the drug, Bright Eyes is forced from her cage, goes on a rampage, and is shot to death. Steven Jacobs, Will's boss, terminates the project and has the chimpanzees euthanized. However, Robert Franklin, Will's assistant reveals that the reason for Bright Eyes' rampage was that she had recently given birth. Will reluctantly takes in the infant chimpanzee, eventually giving him the name Caesar. Discovering that Caesar has inherited his mother's intelligence through being exposed to ALZ-112, Will decides to raise him. Three years pass, Caesar becomes highly intelligent and able to communicate through sign language. Will begins a romantic relationship with Caroline Aranha, a veterinarian. Will and Caroline introduce Caesar to the redwood forest at Muir Woods National Monument so he can roam. Meanwhile, Will treats Charles, his father, with ALZ-112, which seems to restore his confidence.
Five years later, a grown Caesar questions his origins and place in the world, and Will reveals his origins. Charles' condition returns as his immune system becomes resistant to ALZ-112 and deteriorates further. One day, Caesar is seized by Animal Control for violently attacking Douglas Hunsiker, Will's bad-tempered next-door neighbor, who was berating a confused Charles for touching his car. Caesar is taken to a shelter, where he tormented by Rocket, the alpha chimpanzee, and Dodge Landon, the chief guard. However, Caesar befriends Maurice, a former circus orangutan who also knows sign language. Caesar learns to unlock his cage, gaining free access to the common area. With the assistance of Buck, a gorilla, Caesar becomes alpha. Meanwhile, Jacobs clears the development of ALZ-113, a gaseous but more powerful variant of ALZ-113, when Will tells him it can improve intelligence. Will takes the drug home for his father, but Charles declines further treatment and dies overnight. After attempting to test the drug on a bonobo named Koba, Franklin accidentally becomes exposed to ALZ-113 and becomes ill (due to Koba intentionally ripping his mask off). Despite the risks, Jacobs orders continued trials and as a result, Will quits his position.
Attempting to warn Will at his home that he is infected, Franklin sneezes blood onto Hunsiker and is later discovered dead. Will attempts to reclaim Caesar, but Caesar instead decides to stay with the apes and steals the ALZ-113 canisters from Will's house which he uses to enhance the intelligence of the other apes in the shelter. When Dodge attempts to get him back into his cage, Caesar reveals he can speak, and fatally electrocutes Dodge while freeing the apes. The apes flee, releasing Koba and the captive apes from Gen-Sys, and freeing additional apes from the San Francisco Zoo. A battle ensues as the apes fight their way past a police blockade on the Golden Gate Bridge in an attempt to escape into the redwood forest. A helicopter gunship arrives, with Buck sacrificing himself to bring it down save Caesar. Koba sends the helicopter, with Jacobs still inside, falling into the sea. As the apes find their way into the forest, Will finds and begs Caesar to return home, warning him that the humans will hunt them. Caesar hugs him and says he is home. Will accepts Caesar's wishes and the apes embrace their new lifestyle in the forest.
In a mid-credits scene, Hunsiker, now infected with ALZ-113, arrives at San Francisco International Airport for his flight. He eventually spreads the virus across the planet, leading to a deadly pandemic."
